,OG352_38200|[830:2195](-)|window_9--GCA_036227125.1.gbff,OG352_38205|[2351:4964](-)|window_9--GCA_036227125.1.gbff,OG352_38210|[5115:5806](-)|window_9--GCA_036227125.1.gbff,OG352_38215|[5976:6633](-)|window_9--GCA_036227125.1.gbff,OG352_38220|[6893:8321](+)|window_9--GCA_036227125.1.gbff,OG352_38225|[8342:8738](-)|window_9--GCA_036227125.1.gbff,OG352_38230|[9056:9803](+)|window_9--GCA_036227125.1.gbff,OG352_38235|[9832:11343](+)|window_9--GCA_036227125.1.gbff,OG352_38240|[11400:12798](+)|window_9--GCA_036227125.1.gbff,OG352_38245|[12790:13363](+)|window_9--GCA_036227125.1.gbff,OG352_38250|[13381:14026](-)|window_9--GCA_036227125.1.gbff,OG352_38255|[14211:14385](+)|window_9--GCA_036227125.1.gbff,OG352_38260|[14429:16193](-)|window_9--GCA_036227125.1.gbff,OG352_38265|[16516:19069](+)|window_9--GCA_036227125.1.gbff,OG352_38270|[19088:20807](-)|window_9--GCA_036227125.1.gbff,OG352_38275|[21173:23555](-)|window_9--GCA_036227125.1.gbff,OG352_38280|[23608:25297](-)|window_9--GCA_036227125.1.gbff,OG352_38285|[25338:26241](-)|window_9--GCA_036227125.1.gbff,OG352_38290|[26252:26738](-)|window_9--GCA_036227125.1.gbff,OG352_38295|[26886:27306](+)|window_9--GCA_036227125.1.gbff,OG352_38300|[27319:27568](+)|window_9--GCA_036227125.1.gbff,OG352_38310|[28046:29021](-)|window_9--GCA_036227125.1.gbff,OG352_38315|[29017:29977](-)|window_9--GCA_036227125.1.gbff,OG352_38320|[30000:31527](-)|window_9--GCA_036227125.1.gbff,OG352_38325|[31526:33239](-)|window_9--GCA_036227125.1.gbff,OG352_38330|[33507:34896](+)|window_9--GCA_036227125.1.gbff,OG352_38335|[35100:38223](-)|window_9--GCA_036227125.1.gbff,OG352_38340|[39322:40210](+)|window_9--GCA_036227125.1.gbff,OG352_38345|[40766:41219](-)|window_9--GCA_036227125.1.gbff,OG352_38350|[41303:42245](+)|window_9--GCA_036227125.1.gbff,OG352_38355|[42493:43075](+)|window_9--GCA_036227125.1.gbff,OG352_38360|[43322:44252](+)|window_9--GCA_036227125.1.gbff,OG352_38365|[44227:46414](-)|window_9--GCA_036227125.1.gbff,OG352_38370|[46410:46671](-)|window_9--GCA_036227125.1.gbff,OG352_38375|[46728:47169](+)|window_9--GCA_036227125.1.gbff,OG352_38380|[47519:47741](-)|window_9--GCA_036227125.1.gbff,OG352_38385|[48003:48984](-)|window_9--GCA_036227125.1.gbff,OG352_38390|[49065:50346](-)|window_9--GCA_036227125.1.gbff,OG352_38395|[50342:51671](-)|window_9--GCA_036227125.1.gbff,OG352_38400|[51667:52468](-)|window_9--GCA_036227125.1.gbff,OG352_38405|[52464:53385](-)|window_9--GCA_036227125.1.gbff,OG352_38410|[53391:54606](-)|window_9--GCA_036227125.1.gbff,OG352_38415|[54602:55829](-)|window_9--GCA_036227125.1.gbff,OG352_38420|[55825:56920](-)|window_9--GCA_036227125.1.gbff,OG352_38425|[56894:58304](-)|window_9--GCA_036227125.1.gbff,OG352_38430|[58300:59539](-)|window_9--GCA_036227125.1.gbff,OG352_38435|[59610:60648](-)|window_9--GCA_036227125.1.gbff,OG352_38440|[60759:61503](-)|window_9--GCA_036227125.1.gbff,OG352_38445|[61856:62951](+)|window_9--GCA_036227125.1.gbff
window_9--GCA_036227125.1.gbff,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
window_644--NPDC021450.gbff,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_538--NPDC021725.gbff,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_584--NPDC021736.gbff,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_159--GCA_005938145.1.gbff,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_533--NPDC007986.gbff,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_106--GCA_900110755.1.gbff,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_742--NPDC057838.gbff,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_36--NPDC057840.gbff,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_815--NPDC057833.gbff,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_430--NPDC057836.gbff,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_455--NPDC057837.gbff,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_128--NPDC015242.gbff,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_136--NPDC007153.gbff,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_690--NPDC020656.gbff,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
