,ACH3Y9_05090|[515:3530](-)|window_495--GCA_044326755.1.gbff,ACH3Y9_05095|[3845:4424](-)|window_495--GCA_044326755.1.gbff,ACH3Y9_05100|[4659:7827](+)|window_495--GCA_044326755.1.gbff,ACH3Y9_05105|[7816:10252](+)|window_495--GCA_044326755.1.gbff,ACH3Y9_05110|[10367:11300](+)|window_495--GCA_044326755.1.gbff,ACH3Y9_05115|[11473:11560](+)|window_495--GCA_044326755.1.gbff,ACH3Y9_05120|[11759:12590](+)|window_495--GCA_044326755.1.gbff,ACH3Y9_05125|[13063:13846](+)|window_495--GCA_044326755.1.gbff,ACH3Y9_05130|[13944:14589](+)|window_495--GCA_044326755.1.gbff,ACH3Y9_05135|[14596:17293](+)|window_495--GCA_044326755.1.gbff,ACH3Y9_05140|[17289:18261](+)|window_495--GCA_044326755.1.gbff,ACH3Y9_05145|[18257:19274](+)|window_495--GCA_044326755.1.gbff,ACH3Y9_05150|[19288:19813](+)|window_495--GCA_044326755.1.gbff,ACH3Y9_05155|[20083:21469](+)|window_495--GCA_044326755.1.gbff,ACH3Y9_05160|[22220:23150](+)|window_495--GCA_044326755.1.gbff,ACH3Y9_05165|[23314:24583](+)|window_495--GCA_044326755.1.gbff,ACH3Y9_05170|[24620:25838](+)|window_495--GCA_044326755.1.gbff,ACH3Y9_05175|[25939:26584](+)|window_495--GCA_044326755.1.gbff,ACH3Y9_05180|[26660:27845](-)|window_495--GCA_044326755.1.gbff,ACH3Y9_05185|[27984:28959](-)|window_495--GCA_044326755.1.gbff,ACH3Y9_05190|[28955:29852](-)|window_495--GCA_044326755.1.gbff,ACH3Y9_05195|[30000:31527](-)|window_495--GCA_044326755.1.gbff,ACH3Y9_05200|[31526:33242](-)|window_495--GCA_044326755.1.gbff,ACH3Y9_05205|[33608:34811](+)|window_495--GCA_044326755.1.gbff,ACH3Y9_05210|[34914:35937](-)|window_495--GCA_044326755.1.gbff,ACH3Y9_05215|[35917:37264](-)|window_495--GCA_044326755.1.gbff,ACH3Y9_05220|[37502:39815](-)|window_495--GCA_044326755.1.gbff,ACH3Y9_05225|[41080:41480](-)|window_495--GCA_044326755.1.gbff,ACH3Y9_05230|[41690:42326](-)|window_495--GCA_044326755.1.gbff,ACH3Y9_05235|[42373:42616](-)|window_495--GCA_044326755.1.gbff,ACH3Y9_05240|[42602:42863](+)|window_495--GCA_044326755.1.gbff,ACH3Y9_05245|[43123:43705](+)|window_495--GCA_044326755.1.gbff,ACH3Y9_05250|[44268:45411](-)|window_495--GCA_044326755.1.gbff,ACH3Y9_05255|[45748:46198](+)|window_495--GCA_044326755.1.gbff,ACH3Y9_05260|[46355:46751](-)|window_495--GCA_044326755.1.gbff,ACH3Y9_05265|[46795:48061](-)|window_495--GCA_044326755.1.gbff,ACH3Y9_05270|[48057:48861](-)|window_495--GCA_044326755.1.gbff,ACH3Y9_05275|[48863:50198](-)|window_495--GCA_044326755.1.gbff,ACH3Y9_05280|[50181:50916](-)|window_495--GCA_044326755.1.gbff,ACH3Y9_05285|[51028:51793](+)|window_495--GCA_044326755.1.gbff,ACH3Y9_05290|[51782:53657](+)|window_495--GCA_044326755.1.gbff,ACH3Y9_05295|[53758:54145](-)|window_495--GCA_044326755.1.gbff,ACH3Y9_05300|[54163:55381](-)|window_495--GCA_044326755.1.gbff,ACH3Y9_05305|[55429:56575](-)|window_495--GCA_044326755.1.gbff,ACH3Y9_05310|[56725:56911](-)|window_495--GCA_044326755.1.gbff,ACH3Y9_05315|[57052:60085](-)|window_495--GCA_044326755.1.gbff,ACH3Y9_05320|[60720:60981](-)|window_495--GCA_044326755.1.gbff,ACH3Y9_05325|[61876:63118](+)|window_495--GCA_044326755.1.gbff
window_741--GCA_044326745.1.gbff,3,1,3,4,1,0,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,3,1,1
window_495--GCA_044326755.1.gbff,3,1,3,4,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1
window_781--GCA_044326795.1.gbff,2,1,2,3,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1
window_126--GCA_014649235.1.gbff,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
window_254--GCA_014203475.1.gbff,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
window_738--GCA_008704795.1.gbff,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
window_296--GCA_022698305.1.gbff,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
window_86--NPDC000785.gbff,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
window_37--NPDC025395.gbff,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
window_68--NPDC050504.gbff,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
window_591--GCA_006088715.1.gbff,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
window_120--NPDC004732.gbff,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
window_320--NPDC004259.gbff,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
window_423--NPDC052115.gbff,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
window_50--NPDC052114.gbff,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
window_757--NPDC003691.gbff,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_742--NPDC057838.gbff,0,0,0,0,0,0,0,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_36--NPDC057840.gbff,0,0,0,0,0,0,0,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_455--NPDC057837.gbff,0,0,0,0,0,0,0,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_815--NPDC057833.gbff,0,0,0,0,0,0,0,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_430--NPDC057836.gbff,0,0,0,0,0,0,0,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_128--NPDC015242.gbff,0,0,0,0,0,0,0,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_538--NPDC021725.gbff,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,0,0,1,2,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_584--NPDC021736.gbff,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,0,0,1,2,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_159--GCA_005938145.1.gbff,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,0,0,1,2,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_807--GCA_003933965.1.gbff,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,2,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_268--NPDC025403.gbff,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_496--NPDC018347.gbff,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_502--NPDC012751.gbff,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_535--NPDC024387.gbff,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_680--GCA_014650495.1.gbff,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_385--GCA_014654785.1.gbff,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
window_359--NPDC005853.gbff,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_510--GCA_014656295.1.gbff,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_484--GCA_030490905.1.gbff,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_236--NPDC045608.gbff,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_448--NPDC007050.gbff,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
