,CP970_42955|[647:1181](-)|window_328--GCA_008704495.1.gbff,CP970_42960|[1217:2354](-)|window_328--GCA_008704495.1.gbff,CP970_42965|[2680:3523](+)|window_328--GCA_008704495.1.gbff,CP970_42970|[3584:4016](-)|window_328--GCA_008704495.1.gbff,CP970_42975|[4205:5243](+)|window_328--GCA_008704495.1.gbff,CP970_42980|[5466:5838](+)|window_328--GCA_008704495.1.gbff,CP970_42985|[5896:6985](-)|window_328--GCA_008704495.1.gbff,CP970_42990|[7260:9288](+)|window_328--GCA_008704495.1.gbff,CP970_42995|[9362:10448](+)|window_328--GCA_008704495.1.gbff,CP970_43000|[10114:11461](+)|window_328--GCA_008704495.1.gbff,CP970_43005|[11526:12186](-)|window_328--GCA_008704495.1.gbff,CP970_43010|[12256:13696](-)|window_328--GCA_008704495.1.gbff,CP970_43015|[13950:14613](+)|window_328--GCA_008704495.1.gbff,CP970_43020|[14609:15821](+)|window_328--GCA_008704495.1.gbff,CP970_43025|[16085:16601](+)|window_328--GCA_008704495.1.gbff,CP970_43030|[16614:17682](+)|window_328--GCA_008704495.1.gbff,CP970_43035|[17879:18251](+)|window_328--GCA_008704495.1.gbff,CP970_43040|[18308:21134](-)|window_328--GCA_008704495.1.gbff,CP970_43045|[21280:22120](-)|window_328--GCA_008704495.1.gbff,CP970_43050|[22271:22667](+)|window_328--GCA_008704495.1.gbff,CP970_43055|[22768:23473](+)|window_328--GCA_008704495.1.gbff,CP970_43060|[23649:25023](+)|window_328--GCA_008704495.1.gbff,CP970_43065|[25057:25702](+)|window_328--GCA_008704495.1.gbff,CP970_43070|[25726:26731](+)|window_328--GCA_008704495.1.gbff,CP970_43075|[26810:27950](+)|window_328--GCA_008704495.1.gbff,CP970_43080|[28008:28982](-)|window_328--GCA_008704495.1.gbff,CP970_43085|[28978:29956](-)|window_328--GCA_008704495.1.gbff,CP970_43090|[30000:31557](-)|window_328--GCA_008704495.1.gbff,CP970_43095|[31562:33278](-)|window_328--GCA_008704495.1.gbff,CP970_43100|[33347:35843](+)|window_328--GCA_008704495.1.gbff,CP970_43105|[36020:36584](+)|window_328--GCA_008704495.1.gbff,CP970_43110|[36776:37556](+)|window_328--GCA_008704495.1.gbff,CP970_43115|[37594:38127](+)|window_328--GCA_008704495.1.gbff,CP970_43120|[38155:46219](-)|window_328--GCA_008704495.1.gbff,CP970_43125|[46401:48204](+)|window_328--GCA_008704495.1.gbff,CP970_43130|[48155:49016](-)|window_328--GCA_008704495.1.gbff,CP970_43135|[49070:49931](+)|window_328--GCA_008704495.1.gbff,CP970_43140|[50019:52053](-)|window_328--GCA_008704495.1.gbff,CP970_43145|[52352:53060](-)|window_328--GCA_008704495.1.gbff,CP970_43150|[53180:54581](+)|window_328--GCA_008704495.1.gbff,CP970_43155|[54604:55315](-)|window_328--GCA_008704495.1.gbff,CP970_43160|[55389:56136](-)|window_328--GCA_008704495.1.gbff,CP970_43165|[56538:57489](-)|window_328--GCA_008704495.1.gbff,CP970_43170|[57681:58269](-)|window_328--GCA_008704495.1.gbff,CP970_43175|[58479:58983](+)|window_328--GCA_008704495.1.gbff,CP970_43180|[59048:59636](+)|window_328--GCA_008704495.1.gbff,CP970_43185|[59635:59869](+)|window_328--GCA_008704495.1.gbff,CP970_43190|[59935:60484](-)|window_328--GCA_008704495.1.gbff,CP970_43195|[60694:61750](-)|window_328--GCA_008704495.1.gbff,CP970_43200|[62030:62515](+)|window_328--GCA_008704495.1.gbff,CP970_43205|[62571:62973](+)|window_328--GCA_008704495.1.gbff
window_328--GCA_008704495.1.gbff,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
window_748--GCA_002556545.1.gbff,0,0,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1
window_747--NPDC021432.gbff,0,0,0,0,0,1,1,1,2,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0
window_202--NPDC001789.gbff,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
window_64--NPDC045938.gbff,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_439--NPDC041068.gbff,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_37--NPDC025395.gbff,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_126--GCA_014649235.1.gbff,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0
window_254--GCA_014203475.1.gbff,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,1,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0
window_738--GCA_008704795.1.gbff,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,1,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0
window_296--GCA_022698305.1.gbff,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0
window_86--NPDC000785.gbff,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_320--NPDC004259.gbff,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_423--NPDC052115.gbff,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_50--NPDC052114.gbff,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
