,C9F11_00865|[2132:3104](+)|window_591--GCA_006088715.1.gbff,C9F11_00870|[3236:3710](-)|window_591--GCA_006088715.1.gbff,C9F11_00875|[3753:4122](-)|window_591--GCA_006088715.1.gbff,C9F11_00880|[4118:4565](-)|window_591--GCA_006088715.1.gbff,C9F11_00885|[5074:5518](-)|window_591--GCA_006088715.1.gbff,C9F11_00890|[6055:6487](-)|window_591--GCA_006088715.1.gbff,C9F11_00895|[6614:7265](+)|window_591--GCA_006088715.1.gbff,C9F11_00900|[7334:8594](-)|window_591--GCA_006088715.1.gbff,C9F11_00905|[8634:9627](-)|window_591--GCA_006088715.1.gbff,C9F11_00910|[9623:10718](-)|window_591--GCA_006088715.1.gbff,C9F11_00915|[10846:16084](-)|window_591--GCA_006088715.1.gbff,C9F11_00920|[16105:16306](-)|window_591--GCA_006088715.1.gbff,C9F11_00925|[16930:17284](-)|window_591--GCA_006088715.1.gbff,C9F11_00930|[17538:17880](+)|window_591--GCA_006088715.1.gbff,C9F11_00935|[17876:18434](+)|window_591--GCA_006088715.1.gbff,C9F11_00940|[18430:18844](+)|window_591--GCA_006088715.1.gbff,C9F11_00945|[18843:19263](+)|window_591--GCA_006088715.1.gbff,C9F11_00950|[19309:19759](+)|window_591--GCA_006088715.1.gbff,C9F11_00955|[20016:20367](+)|window_591--GCA_006088715.1.gbff,C9F11_00960|[20650:21223](-)|window_591--GCA_006088715.1.gbff,C9F11_00965|[21406:22084](+)|window_591--GCA_006088715.1.gbff,C9F11_00970|[22375:22681](-)|window_591--GCA_006088715.1.gbff,C9F11_00975|[23404:24778](+)|window_591--GCA_006088715.1.gbff,C9F11_00980|[24862:25507](+)|window_591--GCA_006088715.1.gbff,C9F11_00985|[25523:26531](+)|window_591--GCA_006088715.1.gbff,C9F11_00990|[26573:27713](+)|window_591--GCA_006088715.1.gbff,C9F11_00995|[27868:28843](-)|window_591--GCA_006088715.1.gbff,C9F11_01000|[28839:29790](-)|window_591--GCA_006088715.1.gbff,C9F11_01005|[30000:31545](-)|window_591--GCA_006088715.1.gbff,C9F11_01010|[31548:33264](-)|window_591--GCA_006088715.1.gbff,C9F11_01015|[33842:35981](+)|window_591--GCA_006088715.1.gbff,C9F11_01020|[36250:37414](+)|window_591--GCA_006088715.1.gbff,C9F11_01025|[37436:38039](+)|window_591--GCA_006088715.1.gbff,C9F11_01030|[38022:40950](-)|window_591--GCA_006088715.1.gbff,C9F11_01035|[41277:42072](+)|window_591--GCA_006088715.1.gbff,C9F11_01040|[42243:43110](-)|window_591--GCA_006088715.1.gbff,C9F11_01045|[43317:43851](-)|window_591--GCA_006088715.1.gbff,C9F11_01050|[44305:45130](-)|window_591--GCA_006088715.1.gbff,C9F11_01055|[45222:45930](+)|window_591--GCA_006088715.1.gbff,C9F11_01060|[45995:46211](-)|window_591--GCA_006088715.1.gbff,C9F11_01065|[46207:47206](-)|window_591--GCA_006088715.1.gbff,C9F11_01070|[47260:47581](+)|window_591--GCA_006088715.1.gbff,C9F11_01075|[47577:48039](+)|window_591--GCA_006088715.1.gbff,C9F11_01080|[48227:48989](-)|window_591--GCA_006088715.1.gbff,C9F11_01085|[49143:49653](-)|window_591--GCA_006088715.1.gbff,C9F11_01090|[50118:50856](-)|window_591--GCA_006088715.1.gbff,C9F11_01095|[50940:51600](+)|window_591--GCA_006088715.1.gbff,C9F11_01100|[51796:52723](+)|window_591--GCA_006088715.1.gbff,C9F11_01105|[52838:53801](-)|window_591--GCA_006088715.1.gbff,C9F11_01110|[53951:54722](+)|window_591--GCA_006088715.1.gbff,C9F11_01115|[54809:56039](+)|window_591--GCA_006088715.1.gbff,C9F11_01120|[56183:57854](+)|window_591--GCA_006088715.1.gbff,C9F11_01125|[57857:58874](-)|window_591--GCA_006088715.1.gbff,C9F11_01130|[59168:59441](-)|window_591--GCA_006088715.1.gbff,C9F11_01135|[59582:60035](-)|window_591--GCA_006088715.1.gbff,C9F11_01140|[60068:61421](-)|window_591--GCA_006088715.1.gbff,C9F11_01145|[61547:62003](+)|window_591--GCA_006088715.1.gbff
window_591--GCA_006088715.1.gbff,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,3,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
window_320--NPDC004259.gbff,0,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,3,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_352--NPDC049867.gbff,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_120--NPDC004732.gbff,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_38--NPDC057796.gbff,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_202--NPDC001789.gbff,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
window_748--GCA_002556545.1.gbff,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
window_328--GCA_008704495.1.gbff,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
window_439--NPDC041068.gbff,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
window_747--NPDC021432.gbff,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0
window_423--NPDC052115.gbff,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
window_126--GCA_014649235.1.gbff,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_254--GCA_014203475.1.gbff,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_738--GCA_008704795.1.gbff,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_296--GCA_022698305.1.gbff,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
