,ctg5_81|[251:1244](+)|window_533--NPDC007986.gbff,ctg5_82|[1240:1675](+)|window_533--NPDC007986.gbff,ctg5_83|[1671:2598](+)|window_533--NPDC007986.gbff,ctg5_84|[2696:3275](-)|window_533--NPDC007986.gbff,ctg5_85|[3805:4573](+)|window_533--NPDC007986.gbff,ctg5_86|[4839:5334](-)|window_533--NPDC007986.gbff,ctg5_87|[5380:6175](-)|window_533--NPDC007986.gbff,ctg5_88|[6560:7973](+)|window_533--NPDC007986.gbff,ctg5_89|[8134:9091](+)|window_533--NPDC007986.gbff,ctg5_90|[9159:9603](-)|window_533--NPDC007986.gbff,ctg5_91|[9804:10590](+)|window_533--NPDC007986.gbff,ctg5_92|[10638:11406](+)|window_533--NPDC007986.gbff,ctg5_93|[11646:12531](+)|window_533--NPDC007986.gbff,ctg5_94|[12527:13193](+)|window_533--NPDC007986.gbff,ctg5_95|[13270:13606](+)|window_533--NPDC007986.gbff,ctg5_96|[13602:14196](+)|window_533--NPDC007986.gbff,ctg5_97|[14351:14720](+)|window_533--NPDC007986.gbff,ctg5_98|[14787:15132](-)|window_533--NPDC007986.gbff,ctg5_99|[15144:15372](-)|window_533--NPDC007986.gbff,ctg5_100|[15546:16266](-)|window_533--NPDC007986.gbff,ctg5_101|[16594:16768](+)|window_533--NPDC007986.gbff,ctg5_102|[16824:17670](+)|window_533--NPDC007986.gbff,ctg5_103|[17756:18728](-)|window_533--NPDC007986.gbff,ctg5_104|[18848:19301](+)|window_533--NPDC007986.gbff,ctg5_105|[20130:22203](+)|window_533--NPDC007986.gbff,ctg5_106|[22374:23751](+)|window_533--NPDC007986.gbff,ctg5_107|[23777:24422](+)|window_533--NPDC007986.gbff,ctg5_108|[24470:25475](+)|window_533--NPDC007986.gbff,ctg5_109|[25514:26654](+)|window_533--NPDC007986.gbff,ctg5_110|[26699:27881](-)|window_533--NPDC007986.gbff,ctg5_111|[27994:28969](-)|window_533--NPDC007986.gbff,ctg5_112|[28965:29916](-)|window_533--NPDC007986.gbff,ctg5_113|[30000:31527](-)|window_533--NPDC007986.gbff,ctg5_114|[31529:33245](-)|window_533--NPDC007986.gbff,ctg5_115|[33645:34338](+)|window_533--NPDC007986.gbff,ctg5_116|[34729:36622](+)|window_533--NPDC007986.gbff,ctg5_117|[36645:39156](-)|window_533--NPDC007986.gbff,ctg5_118|[39350:39761](-)|window_533--NPDC007986.gbff,ctg5_119|[39857:40307](-)|window_533--NPDC007986.gbff,ctg5_120|[40369:40549](-)|window_533--NPDC007986.gbff,ctg5_121|[40742:42410](-)|window_533--NPDC007986.gbff,ctg5_122|[42689:43454](-)|window_533--NPDC007986.gbff,ctg5_123|[43736:44318](+)|window_533--NPDC007986.gbff,ctg5_124|[44380:45469](-)|window_533--NPDC007986.gbff,ctg5_125|[45753:46314](+)|window_533--NPDC007986.gbff,ctg5_126|[46210:46975](-)|window_533--NPDC007986.gbff,ctg5_127|[47045:48077](-)|window_533--NPDC007986.gbff,ctg5_128|[48155:49508](+)|window_533--NPDC007986.gbff,ctg5_129|[49634:50870](+)|window_533--NPDC007986.gbff,ctg5_130|[50880:51147](+)|window_533--NPDC007986.gbff,ctg5_131|[51303:51894](+)|window_533--NPDC007986.gbff,ctg5_132|[51967:52495](-)|window_533--NPDC007986.gbff,ctg5_133|[52825:53857](+)|window_533--NPDC007986.gbff,ctg5_134|[53947:54304](-)|window_533--NPDC007986.gbff,ctg5_135|[54542:55208](-)|window_533--NPDC007986.gbff,ctg5_136|[55367:57035](+)|window_533--NPDC007986.gbff,ctg5_137|[57116:58634](-)|window_533--NPDC007986.gbff,ctg5_138|[58742:60140](+)|window_533--NPDC007986.gbff,ctg5_139|[60456:61143](+)|window_533--NPDC007986.gbff,ctg5_140|[61271:61946](+)|window_533--NPDC007986.gbff
window_338--NPDC023457.gbff,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_448--NPDC007050.gbff,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_533--NPDC007986.gbff,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
window_601--NPDC045376.gbff,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_790--NPDC053754.gbff,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_324--NPDC006537.gbff,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_720--NPDC032246.gbff,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_438--NPDC023046.gbff,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_330--NPDC006439.gbff,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_389--NPDC053753.gbff,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_653--NPDC059887.gbff,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_798--NPDC024139.gbff,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_64--NPDC045938.gbff,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_106--GCA_900110755.1.gbff,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_741--GCA_044326745.1.gbff,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_495--GCA_044326755.1.gbff,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_657--NPDC053751.gbff,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_332--NPDC053390.gbff,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_225--NPDC025244.gbff,0,0,0,0,0,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
