,ctg16_160|[37:712](-)|window_423--NPDC052115.gbff,ctg16_161|[952:3268](-)|window_423--NPDC052115.gbff,ctg16_162|[3771:4752](-)|window_423--NPDC052115.gbff,ctg16_163|[4985:6173](-)|window_423--NPDC052115.gbff,ctg16_164|[6274:6844](-)|window_423--NPDC052115.gbff,ctg16_165|[6931:7825](+)|window_423--NPDC052115.gbff,ctg16_166|[8096:9221](+)|window_423--NPDC052115.gbff,ctg16_167|[9271:9802](-)|window_423--NPDC052115.gbff,ctg16_168|[10374:11208](-)|window_423--NPDC052115.gbff,ctg16_169|[11547:13161](-)|window_423--NPDC052115.gbff,ctg16_170|[13242:14376](-)|window_423--NPDC052115.gbff,ctg16_171|[14872:15379](-)|window_423--NPDC052115.gbff,ctg16_172|[15442:16303](+)|window_423--NPDC052115.gbff,ctg16_173|[16365:17562](-)|window_423--NPDC052115.gbff,ctg16_174|[17665:18265](+)|window_423--NPDC052115.gbff,ctg16_175|[18286:18970](-)|window_423--NPDC052115.gbff,ctg16_176|[19129:19870](-)|window_423--NPDC052115.gbff,ctg16_177|[20039:21182](+)|window_423--NPDC052115.gbff,ctg16_178|[21258:22095](+)|window_423--NPDC052115.gbff,ctg16_179|[22530:23904](+)|window_423--NPDC052115.gbff,ctg16_180|[24011:24656](+)|window_423--NPDC052115.gbff,ctg16_181|[24672:25680](+)|window_423--NPDC052115.gbff,ctg16_182|[25712:26906](+)|window_423--NPDC052115.gbff,ctg16_183|[26990:27959](+)|window_423--NPDC052115.gbff,ctg16_184|[28017:28992](-)|window_423--NPDC052115.gbff,ctg16_185|[28988:29939](-)|window_423--NPDC052115.gbff,ctg16_186|[30000:31548](-)|window_423--NPDC052115.gbff,ctg16_187|[31551:33267](-)|window_423--NPDC052115.gbff,ctg16_188|[33712:35854](+)|window_423--NPDC052115.gbff,ctg16_189|[36061:37225](+)|window_423--NPDC052115.gbff,ctg16_190|[37342:37762](+)|window_423--NPDC052115.gbff,ctg16_191|[37845:38331](-)|window_423--NPDC052115.gbff,ctg16_192|[38522:39347](+)|window_423--NPDC052115.gbff,ctg16_193|[39473:40139](+)|window_423--NPDC052115.gbff,ctg16_194|[40157:40625](-)|window_423--NPDC052115.gbff,ctg16_195|[40621:40933](-)|window_423--NPDC052115.gbff,ctg16_196|[40951:41713](+)|window_423--NPDC052115.gbff,ctg16_197|[41900:44666](-)|window_423--NPDC052115.gbff,ctg16_198|[45065:45860](+)|window_423--NPDC052115.gbff,ctg16_199|[45928:46561](-)|window_423--NPDC052115.gbff,ctg16_200|[46656:47397](+)|window_423--NPDC052115.gbff,ctg16_201|[47507:47906](+)|window_423--NPDC052115.gbff,ctg16_202|[47928:48786](-)|window_423--NPDC052115.gbff,ctg16_203|[48782:49280](-)|window_423--NPDC052115.gbff,ctg16_204|[49389:50127](-)|window_423--NPDC052115.gbff,ctg16_205|[50527:51190](-)|window_423--NPDC052115.gbff,ctg16_206|[51483:51909](+)|window_423--NPDC052115.gbff,ctg16_207|[52035:52455](-)|window_423--NPDC052115.gbff,ctg16_208|[52657:53467](+)|window_423--NPDC052115.gbff,ctg16_209|[53499:53949](-)|window_423--NPDC052115.gbff,ctg16_210|[54285:54963](-)|window_423--NPDC052115.gbff,ctg16_211|[54998:55745](+)|window_423--NPDC052115.gbff,ctg16_212|[55936:56683](+)|window_423--NPDC052115.gbff,ctg16_213|[56822:57353](-)|window_423--NPDC052115.gbff,ctg16_214|[57651:58320](+)|window_423--NPDC052115.gbff,ctg16_215|[58421:59006](-)|window_423--NPDC052115.gbff,ctg16_216|[59233:60172](+)|window_423--NPDC052115.gbff,ctg16_217|[60786:61167](+)|window_423--NPDC052115.gbff,ctg16_218|[61365:62145](+)|window_423--NPDC052115.gbff,ctg16_219|[62263:62428](-)|window_423--NPDC052115.gbff
window_423--NPDC052115.gbff,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
window_50--NPDC052114.gbff,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
window_126--GCA_014649235.1.gbff,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_254--GCA_014203475.1.gbff,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_738--GCA_008704795.1.gbff,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_296--GCA_022698305.1.gbff,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_128--NPDC015242.gbff,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_120--NPDC004732.gbff,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_37--NPDC025395.gbff,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
window_86--NPDC000785.gbff,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
window_68--NPDC050504.gbff,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_202--NPDC001789.gbff,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_748--GCA_002556545.1.gbff,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_352--NPDC049867.gbff,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
