,ctg18_1|[2:836](+)|window_320--NPDC004259.gbff,ctg18_2|[1408:2449](-)|window_320--NPDC004259.gbff,ctg18_3|[2850:4119](-)|window_320--NPDC004259.gbff,ctg18_4|[4712:5420](-)|window_320--NPDC004259.gbff,ctg18_5|[5512:6337](+)|window_320--NPDC004259.gbff,ctg18_6|[7125:7689](+)|window_320--NPDC004259.gbff,ctg18_7|[7897:8764](+)|window_320--NPDC004259.gbff,ctg18_8|[8795:9068](-)|window_320--NPDC004259.gbff,ctg18_9|[9064:9859](-)|window_320--NPDC004259.gbff,ctg18_10|[10186:13144](+)|window_320--NPDC004259.gbff,ctg18_11|[13176:13731](-)|window_320--NPDC004259.gbff,ctg18_12|[13753:14917](-)|window_320--NPDC004259.gbff,ctg18_13|[15152:17297](-)|window_320--NPDC004259.gbff,ctg18_14|[17906:19622](+)|window_320--NPDC004259.gbff,ctg18_15|[19625:21170](+)|window_320--NPDC004259.gbff,ctg18_16|[21332:22283](+)|window_320--NPDC004259.gbff,ctg18_17|[22279:23254](+)|window_320--NPDC004259.gbff,ctg18_18|[23390:24530](-)|window_320--NPDC004259.gbff,ctg18_19|[24572:25580](-)|window_320--NPDC004259.gbff,ctg18_20|[25596:26241](-)|window_320--NPDC004259.gbff,ctg18_21|[26325:27699](-)|window_320--NPDC004259.gbff,ctg18_22|[28252:28558](+)|window_320--NPDC004259.gbff,ctg18_23|[28979:29597](-)|window_320--NPDC004259.gbff,ctg18_24|[29847:30432](+)|window_320--NPDC004259.gbff,ctg18_25|[30717:31068](-)|window_320--NPDC004259.gbff,ctg18_26|[31325:31775](-)|window_320--NPDC004259.gbff,ctg18_27|[31821:32241](-)|window_320--NPDC004259.gbff,ctg18_28|[32240:32654](-)|window_320--NPDC004259.gbff,ctg18_29|[32650:33136](-)|window_320--NPDC004259.gbff,ctg18_30|[33204:33546](-)|window_320--NPDC004259.gbff,ctg18_31|[33800:34154](+)|window_320--NPDC004259.gbff,ctg18_32|[34779:34980](+)|window_320--NPDC004259.gbff,ctg18_33|[35001:40239](+)|window_320--NPDC004259.gbff,ctg18_34|[40351:41452](+)|window_320--NPDC004259.gbff,ctg18_35|[41448:42441](+)|window_320--NPDC004259.gbff,ctg18_36|[42481:43741](+)|window_320--NPDC004259.gbff,ctg18_37|[43810:44461](-)|window_320--NPDC004259.gbff,ctg18_38|[44588:45020](+)|window_320--NPDC004259.gbff,ctg18_39|[45393:45837](+)|window_320--NPDC004259.gbff,ctg18_40|[46348:46795](+)|window_320--NPDC004259.gbff,ctg18_41|[46791:47160](+)|window_320--NPDC004259.gbff,ctg18_42|[47203:47677](+)|window_320--NPDC004259.gbff,ctg18_43|[47933:48353](+)|window_320--NPDC004259.gbff,ctg18_44|[48472:48709](+)|window_320--NPDC004259.gbff,ctg18_45|[48926:49202](+)|window_320--NPDC004259.gbff,ctg18_46|[49787:49925](+)|window_320--NPDC004259.gbff,ctg18_47|[49952:50147](+)|window_320--NPDC004259.gbff,ctg18_48|[50143:50647](+)|window_320--NPDC004259.gbff
window_320--NPDC004259.gbff,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,3,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
window_591--GCA_006088715.1.gbff,1,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,3,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0
window_571--GCA_008042075.1.gbff,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_738--GCA_008704795.1.gbff,0,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_254--GCA_014203475.1.gbff,0,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_439--NPDC041068.gbff,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_423--NPDC052115.gbff,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_50--NPDC052114.gbff,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_747--NPDC021432.gbff,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_328--GCA_008704495.1.gbff,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_202--NPDC001789.gbff,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_37--NPDC025395.gbff,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_86--NPDC000785.gbff,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
